MonthYear,Region,Organization,Type 1,Type 2,Type 3,Total Attendances,Type 1 < 4h,Type 2 < 4h,Type 3 < 4h,Total Attendances < 4h,Type 1 > 4h,Type 2 > 4h,Type 3 > 4h,Total Attendances > 4 hours,Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,>4h decision to admit,>12h decision to admit,Year,CovidPeriod,Within_4h_%,Over_4h_%,Type1_Over4h_%,Type1_Under4h_%
2015-06-01,Midlands England,Showell Park Health & Walk In Centre,0.0,0.0,1736.0,1736.0,0.0,0.0,1736.0,1736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,North-East England,Aintree University Hospital NHS Foundation Trust,6320.0,0.0,5804.0,12124.0,5849.0,0.0,5804.0,11653.0,471.0,0.0,0.0,471.0,1999.0,0.0,0.0,1999.0,1166.0,3165.0,116.0,0.0,2015,Pre-COVID,96.1151435169911,3.8848564830089085,7.45253164556962,92.54746835443038
2015-06-01,Midlands England,Cambridge University Hospitals NHS Foundation Trust,9126.0,0.0,3322.0,12448.0,8088.0,0.0,3321.0,11409.0,1038.0,0.0,1.0,1039.0,2992.0,0.0,0.0,2992.0,546.0,3538.0,0.0,0.0,2015,Pre-COVID,91.65327763496144,8.34672236503856,11.374095989480605,88.62590401051939
2015-06-01,Midlands England,West Hertfordshire Hospitals NHS Trust,7470.0,0.0,4390.0,11860.0,6515.0,0.0,4381.0,10896.0,955.0,0.0,9.0,964.0,2516.0,0.0,0.0,2516.0,916.0,3432.0,320.0,0.0,2015,Pre-COVID,91.87183811129849,8.128161888701518,12.784471218206159,87.21552878179384
2015-06-01,London Region,Royal Free London NHS Foundation Trust,18106.0,0.0,3361.0,21467.0,17584.0,0.0,3361.0,20945.0,522.0,0.0,0.0,522.0,2938.0,0.0,0.0,2938.0,436.0,3374.0,239.0,0.0,2015,Pre-COVID,97.56836073974007,2.4316392602599337,2.8830222025847787,97.11697779741522
2015-06-01,London Region,Royal Brompton & Harefield NHS Foundation Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,521.0,0.0,0.0,2015,Pre-COVID,,,,
2015-06-01,London Region,Purley Miu,0.0,0.0,604.0,604.0,0.0,0.0,604.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,236.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,London Region,Parkway Miu,0.0,0.0,461.0,461.0,0.0,0.0,461.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,London Region,Orient Practice,0.0,0.0,938.0,938.0,0.0,0.0,938.0,938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,100.0,0.0,,
2015-06-01,London Region,North Middlesex University Hospital NHS Trust,14979.0,0.0,0.0,14979.0,14203.0,0.0,0.0,14203.0,776.0,0.0,0.0,776.0,2889.0,0.0,0.0,2889.0,241.0,3130.0,262.0,0.0,2015,Pre-COVID,94.81941384605113,5.180586153948862,5.180586153948862,94.81941384605113
2015-06-01,London Region,North East London NHS Foundation Trust,0.0,0.0,5430.0,5430.0,0.0,0.0,5428.0,5428.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Pre-COVID,99.96316758747697,0.036832412523020254,,
2015-06-01,London Region,Moorfields Eye Hospital NHS Foundation Trust,0.0,9104.0,0.0,9104.0,0.0,9004.0,0.0,9004.0,0.0,100.0,0.0,100.0,0.0,27.0,0.0,27.0,146.0,173.0,0.0,0.0,2015,Pre-COVID,98.90158172231986,1.0984182776801406,,
